Player,Year,ADP,Fantasy_Round,Position_ADP,Positional_Rank,Overall_Rank,Returned_Value_Overall,Returned_Value_Postition,College,Conference,College_Wins_Final_Szn,Draft_Position,Draft_Round,Team_Drafted_To,Team_Drafted_to_Ws_Prev_Yr,Completions,Yards,TDS
Anthony Richardson,2023,108,9,16,40,214,0,0,Florida,SEC,6,4,1,Indianapolis,4,176,2549,17
Bryce Young,2023,174,15,22,23,107,1,0,Alabama,SEC,11,1,1,Carolina,7,245,3328,32
Trevor Lawrence,2021,128,11,14,23,71,1,0,Clemson,ACC,10,1,1,Jacksonville,1,231,3153,24
Trey Lance,2021,142,12,18,39,252,0,0,NDSU,Missouri Valley,16,3,1,SanFrancisco,6,192,2786,28
Justin Fields,2021,138,12,17,31,144,0,0,Ohio State,Big 10,7,11,1,Chicago,8,158,2100,22
Mac Jones,2021,161,14,22,18,54,1,1,Alabama,SEC,13,15,1,New England,7,311,4500,41
Joe Burrow,2020,143,12,19,25,89,1,0,LSU,SEC,15,1,1,Cincinatti,2,402,5671,60
Kyler Murray,2019,108,9,15,6,15,1,1,Oklahoma,Big 12,12,1,1,Arizona,3,260,4361,42
Jameis WInston,2015,167,14,23,13,22,1,1,FSU,ACC,13,1,1,Tampa Bay,2,305,3907,25
Marcus Mariota,2015,158,14,21,22,57,1,0,Oregon,Pac 12,13,2,1,Tenessee,2,304,4454,42
