Player,ADP,Position_ADP,Conference,College_Wins_Final_Szn,Draft_Position,Team_Drafted_to_Ws_Prev_Yr,Yards,Receptions,TDS
Marvin Harrison Jr. ,16,9,Big 10,11,4,4,1211,67,15
Malik Nabers,49,24,SEC,10,6,6,1569,89,14
Rome Odunze,92,39,Pac 12,14,9,7,1640,92,14
Xavier Worthy,85,38,Big 12,12,28,11,1014,75,5
Brian Thomas Jr.,118,48,SEC,10,23,9,1177,68,17
Keon Coleman,100,42,ACC,13,33,11,658,50,11
Ladd McConkey,101,43,SEC,13,34,5,478,30,3
Xavier Legette,169,62,SEC,5,32,2,1255,71,7
Adonai Mitchell,166,61,Big 12,12,52,9,845,55,11
Ja'Lynn Polk,177,65,Pac 12,14,37,4,1159,69,10
